State,Per Capita Income(INR.CR)
Goa,431351.0
Sikkim,412754.0
Delhi,344136.0
Chandigarh,292977.0
Karnataka,236451.0
Haryana,235707.0
Telangana,231103.0
Gujarat,212821.0
Tamil Nadu,212174.0
Puducherry,206888.0
Kerala,205067.0
Maharashtra,193121.0
Arunachal Pradesh,192360.0
Himachal Pradesh,183333.0
Uttarakhand,182698.0
Andhra Pradesh,176707.0
Punjab,149894.0
Mizoram,144394.0
Nagaland,123385.0
West Bengal,121267.0
Tripura,119789.0
Rajasthan,115933.0
Chhattisgarh,104943.0
Madhya Pradesh,104894.0
Jammu & Kashmir-UT,102803.0
Odisha,101501.0
Manipur,87832.0
Assam,86857.0
Meghalaya,84638.0
Jharkhand,71071.0
Uttar Pradesh,61666.0
Bihar,43605.0
